society,name,year,date_text,start,end,city,country_or_state,venue,source_url,note
EUSEM,European Emergency Medicine Congress (EUSEM 2026),2026,25-27 September ,2026-09-25,2026-09-27,Paris,,,https://eusemcongress.org/,城市欄位靠行銷文案推測，建議人工確認
ACEP,ACEP26 Scientific Assembly,2026,"October 5-8, 2026",2026-10-05,2026-10-08,Chicago,Illinois,,https://www.acep.org/sa,
SAEM,SAEM27 Annual Meeting,2027,"May 18-21, 2027",2027-05-18,2027-05-21,San Francisco,CA,San Francisco Marriott Marquis,https://www.saem.org/meetings-and-events/future-meetings,
ACEP,ACEP27 Scientific Assembly,2027,10/25/2027 - 10/28/2027,2027-10-25,2027-10-28,Boston,Massachusetts,,https://www.acep.org/sa/general-information/future-dates,
SAEM,SAEM28 Annual Meeting,2028,"May 16-19, 2028",2028-05-16,2028-05-19,Austin,TX,JW Marriott Austin,https://www.saem.org/meetings-and-events/future-meetings,
ACEP,ACEP28 Scientific Assembly,2028,9/17/2028 - 9/20/2028,2028-09-17,2028-09-20,Las Vegas,Nevada,,https://www.acep.org/sa/general-information/future-dates,
ASIANSEM,14TH ACEM,2028,20-25 Oct 2028,2028-10-20,2028-10-25,,,,https://www.asiansem.org/,
SAEM,SAEM29 Annual Meeting,2029,May 15-18,2029-05-15,2029-05-18,Las Vegas,NV,Paris Las Vegas,https://www.saem.org/meetings-and-events/future-meetings,year inferred from meeting code
ACEP,ACEP29 Scientific Assembly,2029,10/1/2029 - 10/4/2029,2029-10-01,2029-10-04,Philadelphia,Pennsylvania,,https://www.acep.org/sa/general-information/future-dates,
ACEP,ACEP30 Scientific Assembly,2030,10/17/2030 - 10/20/2030,2030-10-17,2030-10-20,San Francisco,California,,https://www.acep.org/sa/general-information/future-dates,
ACEP,ACEP31 Scientific Assembly,2031,10/27/2031 - 10/30/2031,2031-10-27,2031-10-30,Chicago,Illinois,,https://www.acep.org/sa/general-information/future-dates,
ACEP,ACEP32 Scientific Assembly,2032,10/4/2032 - 10/7/2032,2032-10-04,2032-10-07,Dallas,Texas,,https://www.acep.org/sa/general-information/future-dates,
HKCEM,Hong Kong College of Emergency Medicine Annual Congress,,,,,,,,https://hkcem.org.hk/,官方網站尚未公布可解析的年會日期
IFEM,IFEM Global Congress,,,,,,,,https://www.ifem.cc/events,官方網站目前無法存取（可能受到 Cloudflare 保護），日期待確認
SEMS,Society for Emergency Medicine in Singapore Annual Conference,,,,,,,,https://sems-online.com/,官方網站尚未公布可解析的年會日期
